127.0.0.1 - - [30/Jan/2023:10:06:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:14 +0700] "GET /QLTBYT/ HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:14 +0700] "GET /QLTBYT/img/logo1.png HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:27 +0700] "POST /QLTBYT/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:27 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:27 +0700] "GET /QLTBYT/css/style.css HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:29 +0700] "GET /QLTBYT/ListUser.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:29 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:40 +0700] "POST /QLTBYT/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:06:40 +0700] "GET /QLTBYT/SystemError HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/add_device.jsp HTTP/1.1" 200 12229
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:31 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/confirm_data_device.jsp HTTP/1.1" 200 10403
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:41 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:55 +0700] "GET /QLTBYT/jsp/confirm_data_device.jsp HTTP/1.1" 200 10403
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:56 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:56 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:56 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:56 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
