127.0.0.1 - - [12/Feb/2023:16:02:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:26 +0700] "GET /QLTBYT/ HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:26 +0700] "GET /QLTBYT/img/logo1.png HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/list_device_infile.jsp HTTP/1.1" 200 7561
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/js/device.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:02:46 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:00 +0700] "GET /QLTBYT/jsp/navbar.jsp HTTP/1.1" 200 2182
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:00 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:00 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:00 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:00 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/list_device.jsp HTTP/1.1" 200 10864
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/js/device.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:04:11 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/list_device.jsp HTTP/1.1" 200 10864
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/js/device.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Feb/2023:16:10:46 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
